Profil,Diplôme,Métier,Années d'expérience,Objectifs,Notation,Évaluation,Description de la personnalité,Université d'études,Parcours Professionnel,Historiques d'interaction,Tarif horaire en euros,Langue parlée,Localisation,Disponibilité
Mentor,Internat en Médecine,Chirurgien,11,Devenir spécialiste en chirurgie,2.0,Passable,Analytique et organisé,Université de Bordeaux,"Stanford Health Care, Massachusetts General Hospital, Cleveland Clinic, Johns Hopkins Hospital, Mayo Clinic",2,15.0,Français,Bordeaux,2
Mentor,Diplôme en Sculpture,Sculpteur,21,Travailler sur des projets de design graphique innovants,4.0,Bien,Sympathique et patient,Université de Bordeaux,"Sotheby's, Saatchi Gallery",17,35.0,Anglais,Montpellier,1
Mentor,Licence en Psychologie,Psychologue scolaire,6,Faire de la recherche en psychologie,1.0,Médiocre,Sociable et communicatif,Université de Toulouse,"Stanford Health Care, Johns Hopkins Hospital, Cleveland Clinic",0,15.0,Français,Rennes,2
Mentor,Certificat en Ressources Humaines,Responsable RH,6,Devenir expert en gestion des talents,5.0,Très bien,Sociable et communicatif,Université de Lyon,"Randstad, Kelly Services",0,15.0,Français,Lyon,2
Mentor,DFASM en Médecine,Chirurgien,23,Devenir spécialiste en chirurgie,3.0,Moyen,Analytique et organisé,Université de Paris,Cleveland Clinic,19,35.0,Français,Lyon,1
Mentor,Master en Pédagogie,Éducateur spécialisé,7,Devenir un enseignant émérite,2.0,Passable,Créatif et innovant,Université de Toulouse,"Harvard University, Stanford University",14,35.0,Français,Montpellier,1
Mentor,Licence en Sciences de l'Éducation,Éducateur spécialisé,5,Améliorer les méthodes d'enseignement,3.0,Moyen,Sociable et communicatif,Université de Toulouse,"University of Cambridge, Stanford University",10,25.0,Français,Marseille,2
Mentor,Doctorat en Psychologie,Psychologue clinicien,23,Devenir psychologue clinicien renommé,2.0,Passable,Créatif et innovant,Université de Paris,"Stanford Health Care, Johns Hopkins Hospital",17,35.0,Français,Strasbourg,2
Mentor,Ingénieur en Informatique,Data scientist,29,Créer des applications web,2.0,Passable,Analytique et organisé,Université de Bordeaux,IBM,17,35.0,Anglais,Strasbourg,3
Mentor,Internat en Médecine,Gynécologue,16,Pratiquer la médecine pédiatrique,3.0,Moyen,Sympathique et patient,Université de Bordeaux,"Johns Hopkins Hospital, Stanford Health Care, Cleveland Clinic",6,25.0,Français,Lyon,2
Mentor,Master en Marketing,Analyste de marché,23,Gérer des campagnes publicitaires de grande envergure,3.0,Moyen,Sympathique et patient,Université de Toulouse,"Procter & Gamble, Nike",7,25.0,Anglais,Lyon,3
Mentor,BTS en Informatique,Data scientist,5,Travailler en cybersécurité,2.0,Passable,Analytique et organisé,Université de Paris,Amazon,7,25.0,Anglais,Marseille,3
Mentor,BTS en Finance,Comptable,25,Devenir analyste financier senior,4.0,Bien,Sociable et communicatif,Université de Bordeaux,"Goldman Sachs, Citigroup, JPMorgan Chase, Morgan Stanley",7,25.0,Français,Marseille,1
Mentor,Doctorat en Psychologie,Psychologue clinicien,26,Faire de la recherche en psychologie,4.0,Bien,Sociable et communicatif,Université de Lyon,"Johns Hopkins Hospital, Massachusetts General Hospital, Mayo Clinic, Stanford Health Care, Cleveland Clinic",12,35.0,Français,Marseille,1
Mentor,DES en Médecine,Chirurgien,20,Pratiquer la médecine pédiatrique,2.0,Passable,Sociable et communicatif,Université de Bordeaux,"Johns Hopkins Hospital, Mayo Clinic, Massachusetts General Hospital, Cleveland Clinic",20,35.0,Anglais,Paris,1
Mentor,Master en Ingénierie,Ingénieur électrique,26,Concevoir des produits mécaniques innovants,4.0,Bien,Sociable et communicatif,Université de Paris,"Airbus, Boeing, General Electric, Lockheed Martin, Siemens",16,35.0,Anglais,Lyon,1
Mentor,Doctorat en Informatique,Développeur web,18,Travailler en cybersécurité,1.0,Médiocre,Sociable et communicatif,Université de Paris,"Google, Apple, Amazon, Microsoft, IBM",16,35.0,Français,Rennes,2
Mentor,Certificat en Marketing,Gestionnaire de campagnes,19,Devenir responsable marketing stratégique,2.0,Passable,Sympathique et patient,Université de Toulouse,"Nike, Coca-Cola, McDonald's",16,35.0,Français,Lille,2
Mentor,Certificat en Ressources Humaines,Médiateur en conflits,28,Devenir expert en gestion des talents,1.0,Médiocre,Créatif et innovant,Université de Paris,"ADP, Kelly Services, Adecco, Randstad",4,15.0,Français,Paris,1
Mentor,DES en Médecine,Médecin généraliste,7,Devenir spécialiste en chirurgie,3.0,Moyen,Sociable et communicatif,Université de Toulouse,"Johns Hopkins Hospital, Cleveland Clinic, Massachusetts General Hospital",13,35.0,Anglais,Paris,1
Mentor,Doctorat en Ressources Humaines,Formateur,7,Former le personnel dans de grandes organisations,5.0,Très bien,Dynamique et enthousiaste,Université de Marseille,"ADP, Randstad",3,15.0,Anglais,Nantes,2
Mentor,BTS en Design Graphique,Designer graphique,20,Travailler sur des projets de design graphique innovants,1.0,Médiocre,Dynamique et enthousiaste,Université de Bordeaux,The Louvre,19,35.0,Anglais,Bordeaux,1
Mentor,Doctorat en Psychologie,Psychologue scolaire,26,Faire de la recherche en psychologie,3.0,Moyen,Sociable et communicatif,Université de Paris,"Stanford Health Care, Cleveland Clinic, Johns Hopkins Hospital, Mayo Clinic, Massachusetts General Hospital",2,15.0,Anglais,Toulouse,3
Mentor,Master en Gestion,Contrôleur financier,23,Gérer des projets internationaux,1.0,Médiocre,Sociable et communicatif,Université de Toulouse,"Deloitte, Bain & Company",16,35.0,Anglais,Marseille,3
Mentor,Doctorat en Marketing,Chef de publicité,18,Devenir responsable marketing stratégique,4.0,Bien,Sympathique et patient,Université de Bordeaux,"Amazon Advertising, McDonald's",0,15.0,Français,Marseille,3
Mentor,Certificat en Marketing,Responsable marketing,30,Gérer des campagnes publicitaires de grande envergure,4.0,Bien,Sociable et communicatif,Université de Lyon,"Coca-Cola, Procter & Gamble, Amazon Advertising",20,35.0,Français,Lille,2
Mentor,Pharmacie,Gynécologue,25,Devenir spécialiste en chirurgie,5.0,Très bien,Sociable et communicatif,Université de Toulouse,"Johns Hopkins Hospital, Massachusetts General Hospital, Cleveland Clinic, Mayo Clinic",18,35.0,Anglais,Toulouse,2
Mentor,Doctorat en Médecine,Chirurgien,10,Pratiquer la médecine pédiatrique,5.0,Très bien,Sociable et communicatif,Université de Marseille,"Massachusetts General Hospital, Cleveland Clinic, Stanford Health Care, Johns Hopkins Hospital, Mayo Clinic",18,35.0,Français,Rennes,2
Mentor,DFASM en Médecine,Gynécologue,20,Pratiquer la médecine pédiatrique,1.0,Médiocre,Sociable et communicatif,Université de Bordeaux,Mayo Clinic,0,15.0,Français,Montpellier,2
Mentor,BTS en Psychologie,Psychologue clinicien,5,Faire de la recherche en psychologie,3.0,Moyen,Analytique et organisé,Université de Paris,"Cleveland Clinic, Massachusetts General Hospital, Mayo Clinic, Stanford Health Care, Johns Hopkins Hospital",16,35.0,Anglais,Lyon,2
Mentor,MBA en Gestion,Contrôleur financier,30,Gérer des projets internationaux,1.0,Médiocre,Sympathique et patient,Université de Marseille,McKinsey & Company,8,25.0,Anglais,Strasbourg,1
Mentor,Doctorat en Marketing,Analyste de marché,11,Devenir responsable marketing stratégique,3.0,Moyen,Sociable et communicatif,Université de Lyon,"Nike, Amazon Advertising, Procter & Gamble, Coca-Cola, McDonald's",12,35.0,Français,Montpellier,3
Mentor,BTS en Éducation,Didacticien,9,Devenir un enseignant émérite,5.0,Très bien,Analytique et organisé,Université de Paris,"University of Cambridge, Massachusetts Institute of Technology",17,35.0,Anglais,Marseille,3
Mentor,DFASM en Médecine,Médecin généraliste,28,Devenir spécialiste en chirurgie,2.0,Passable,Créatif et innovant,Université de Marseille,"Cleveland Clinic, Massachusetts General Hospital, Stanford Health Care",15,35.0,Anglais,Toulouse,3
Mentor,BTS en Marketing,Gestionnaire de campagnes,10,Devenir responsable marketing stratégique,1.0,Médiocre,Sympathique et patient,Université de Marseille,"Coca-Cola, Procter & Gamble, Nike",18,35.0,Français,Lyon,2
Mentor,Licence en Ressources Humaines,Formateur,8,Former le personnel dans de grandes organisations,2.0,Passable,Sympathique et patient,Université de Paris,"Randstad, ADP",17,35.0,Français,Bordeaux,1
Mentor,BTS en Design Graphique,Artiste,6,Devenir artiste renommé,4.0,Bien,Créatif et innovant,Université de Lyon,"Christie's, Saatchi Gallery, Sotheby's",3,15.0,Anglais,Strasbourg,1
Mentor,DFASM en Médecine,Chirurgien,25,Devenir spécialiste en chirurgie,3.0,Moyen,Analytique et organisé,Université de Bordeaux,"Mayo Clinic, Cleveland Clinic",17,35.0,Français,Strasbourg,3
Mentor,Doctorat en Marketing,Gestionnaire de campagnes,20,Gérer des campagnes publicitaires de grande envergure,5.0,Très bien,Sociable et communicatif,Université de Toulouse,Nike,20,35.0,Anglais,Bordeaux,2
Mentor,BTS en Informatique,Développeur web,9,Devenir expert en IA,2.0,Passable,Sociable et communicatif,Université de Paris,"Amazon, Microsoft",1,15.0,Anglais,Rennes,3
Mentor,Licence en Ressources Humaines,Formateur,21,Former le personnel dans de grandes organisations,5.0,Très bien,Créatif et innovant,Université de Lyon,"ADP, Kelly Services",16,35.0,Français,Bordeaux,2
Mentor,BTS en Psychologie,Psychologue scolaire,20,Devenir psychologue clinicien renommé,1.0,Médiocre,Créatif et innovant,Université de Lyon,"Stanford Health Care, Johns Hopkins Hospital, Mayo Clinic, Cleveland Clinic, Massachusetts General Hospital",10,25.0,Français,Lyon,1
Mentor,Licence en Sciences de l'Éducation,Didacticien,16,Améliorer les méthodes d'enseignement,4.0,Bien,Sociable et communicatif,Université de Marseille,"Harvard University, University of Cambridge, Massachusetts Institute of Technology",14,35.0,Anglais,Bordeaux,3
Mentor,Licence en Psychologie,Psychologue de l'enfance,20,Faire de la recherche en psychologie,2.0,Passable,Sociable et communicatif,Université de Toulouse,"Mayo Clinic, Stanford Health Care, Cleveland Clinic, Johns Hopkins Hospital, Massachusetts General Hospital",17,35.0,Anglais,Rennes,3
Mentor,Doctorat en Ingénierie,Ingénieur logiciel,12,Concevoir des produits mécaniques innovants,5.0,Très bien,Créatif et innovant,Université de Marseille,"Boeing, General Electric, Airbus",18,35.0,Français,Marseille,1
Mentor,Master en Finance,Trader,29,Devenir analyste financier senior,5.0,Très bien,Dynamique et enthousiaste,Université de Marseille,Morgan Stanley,3,15.0,Anglais,Rennes,2
Mentor,Licence en Gestion,Directeur général,29,Devenir directeur général d'une grande entreprise,4.0,Bien,Analytique et organisé,Université de Marseille,"Bain & Company, PwC",2,15.0,Anglais,Paris,2
Mentor,BTS en Finance,Trader,19,Gérer des portefeuilles d'investissement complexes,4.0,Bien,Sociable et communicatif,Université de Toulouse,"Citigroup, Morgan Stanley",0,15.0,Français,Lille,2
Mentor,Certificat en Ingénierie,Ingénieur électrique,19,Concevoir des produits mécaniques innovants,5.0,Très bien,Sociable et communicatif,Université de Paris,"Boeing, Siemens, Airbus",0,15.0,Anglais,Marseille,3
Mentor,Master en Pédagogie,Psychopédagogue,9,Améliorer les méthodes d'enseignement,1.0,Médiocre,Sympathique et patient,Université de Bordeaux,"Oxford University, Massachusetts Institute of Technology, Harvard University",6,25.0,Français,Lille,1
Mentor,Licence en Gestion,Responsable des ressources humaines,13,Gérer des projets internationaux,3.0,Moyen,Créatif et innovant,Université de Marseille,Deloitte,14,35.0,Français,Montpellier,3
Mentor,Doctorat en Éducation,Didacticien,12,Devenir un enseignant émérite,4.0,Bien,Créatif et innovant,Université de Bordeaux,University of Cambridge,14,35.0,Français,Montpellier,3
Mentor,BTS en Ingénierie,Ingénieur mécanique,15,Devenir ingénieur de renom,4.0,Bien,Sociable et communicatif,Université de Marseille,"General Electric, Boeing, Lockheed Martin, Airbus, Siemens",6,25.0,Anglais,Strasbourg,3
Mentor,Certificat en Ressources Humaines,Formateur,20,Former le personnel dans de grandes organisations,1.0,Médiocre,Sympathique et patient,Université de Paris,"Kelly Services, Randstad, ADP, ManpowerGroup",10,25.0,Français,Lille,3
Mentor,Licence en Gestion,Directeur général,22,Gérer des projets internationaux,3.0,Moyen,Sympathique et patient,Université de Paris,"PwC, Deloitte, Boston Consulting Group, McKinsey & Company",14,35.0,Français,Strasbourg,1
Mentor,Licence en Arts Plastiques,Artiste,26,Devenir artiste renommé,1.0,Médiocre,Sympathique et patient,Université de Toulouse,Gagosian Gallery,10,25.0,Français,Strasbourg,2
Mentor,Internat en Médecine,Gynécologue,11,Pratiquer la médecine pédiatrique,5.0,Très bien,Dynamique et enthousiaste,Université de Lyon,"Stanford Health Care, Cleveland Clinic",14,35.0,Français,Lyon,2
Mentor,Doctorat en Ressources Humaines,Formateur,20,Former le personnel dans de grandes organisations,4.0,Bien,Analytique et organisé,Université de Paris,"Kelly Services, Randstad",0,15.0,Anglais,Rennes,3
Mentor,Doctorat en Gestion,Chef de projet,14,Devenir directeur général d'une grande entreprise,3.0,Moyen,Dynamique et enthousiaste,Université de Marseille,"Boston Consulting Group, Bain & Company",18,35.0,Français,Lille,1
Mentor,Licence en Gestion,Chef de projet,20,Devenir directeur général d'une grande entreprise,4.0,Bien,Créatif et innovant,Université de Lyon,"Bain & Company, PwC, Deloitte, Boston Consulting Group, McKinsey & Company",1,15.0,Français,Strasbourg,2
Mentor,DES en Médecine,Pédiatre,18,Pratiquer la médecine pédiatrique,4.0,Bien,Analytique et organisé,Université de Toulouse,Johns Hopkins Hospital,3,15.0,Anglais,Toulouse,2
Mentor,BTS en Informatique,Data scientist,5,Travailler en cybersécurité,5.0,Très bien,Sympathique et patient,Université de Toulouse,"Google, Apple, Microsoft, Amazon, IBM",0,15.0,Anglais,Strasbourg,2
Mentor,Licence en Marketing,Analyste de marché,24,Gérer des campagnes publicitaires de grande envergure,1.0,Médiocre,Sympathique et patient,Université de Lyon,"Coca-Cola, Procter & Gamble",15,35.0,Anglais,Rennes,3
Mentor,Master en Marketing,Analyste de marché,20,Gérer des campagnes publicitaires de grande envergure,5.0,Très bien,Sociable et communicatif,Université de Lyon,"McDonald's, Procter & Gamble, Coca-Cola, Amazon Advertising, Nike",13,35.0,Anglais,Rennes,1
Mentor,Master en Pédagogie,Psychopédagogue,24,Améliorer les méthodes d'enseignement,2.0,Passable,Sympathique et patient,Université de Toulouse,"University of Cambridge, Stanford University, Harvard University",14,35.0,Anglais,Toulouse,1
Mentor,DES en Médecine,Gynécologue,11,Pratiquer la médecine pédiatrique,4.0,Bien,Créatif et innovant,Université de Paris,Cleveland Clinic,17,35.0,Français,Paris,3
Mentor,BTS en Informatique,Data scientist,11,Devenir expert en IA,5.0,Très bien,Créatif et innovant,Université de Toulouse,"Apple, Microsoft, Google, Amazon, IBM",7,25.0,Anglais,Lille,3
Mentor,Doctorat en Finance,Comptable,12,Gérer des portefeuilles d'investissement complexes,4.0,Bien,Créatif et innovant,Université de Marseille,Morgan Stanley,6,25.0,Anglais,Montpellier,3
Mentor,Certificat en Psychologie,Conseiller en orientation,5,Faire de la recherche en psychologie,1.0,Médiocre,Dynamique et enthousiaste,Université de Lyon,"Stanford Health Care, Mayo Clinic, Johns Hopkins Hospital",13,35.0,Français,Lyon,2
Mentor,Certificat en Ingénierie,Ingénieur logiciel,25,Devenir ingénieur de renom,4.0,Bien,Sympathique et patient,Université de Toulouse,"Lockheed Martin, Siemens, General Electric, Boeing",8,25.0,Anglais,Bordeaux,1
Mentor,Doctorat en Finance,Gestionnaire de portefeuille,27,Gérer des portefeuilles d'investissement complexes,3.0,Moyen,Sociable et communicatif,Université de Bordeaux,"Morgan Stanley, Goldman Sachs, JPMorgan Chase, Bank of America",12,35.0,Français,Strasbourg,1
Mentor,Master en Pédagogie,Didacticien,12,Améliorer les méthodes d'enseignement,1.0,Médiocre,Sociable et communicatif,Université de Paris,"Stanford University, Harvard University, Massachusetts Institute of Technology, University of Cambridge",20,35.0,Anglais,Marseille,3
Mentor,Pharmacie,Pédiatre,15,Pratiquer la médecine pédiatrique,5.0,Très bien,Créatif et innovant,Université de Lyon,"Mayo Clinic, Cleveland Clinic, Johns Hopkins Hospital, Massachusetts General Hospital",20,35.0,Anglais,Bordeaux,1
Mentor,MBA en Gestion,Responsable des ressources humaines,27,Devenir directeur général d'une grande entreprise,1.0,Médiocre,Sympathique et patient,Université de Paris,"Bain & Company, PwC, McKinsey & Company",3,15.0,Anglais,Lyon,2
Mentor,Doctorat en Ressources Humaines,Recruteur,27,Former le personnel dans de grandes organisations,3.0,Moyen,Sociable et communicatif,Université de Paris,"ADP, Randstad, Adecco, Kelly Services",5,25.0,Français,Bordeaux,1
Mentor,Master en Gestion,Contrôleur financier,19,Devenir directeur général d'une grande entreprise,4.0,Bien,Analytique et organisé,Université de Paris,"McKinsey & Company, Boston Consulting Group, Bain & Company",1,15.0,Français,Montpellier,2
Mentor,Doctorat en Médecine,Médecin généraliste,18,Pratiquer la médecine pédiatrique,4.0,Bien,Créatif et innovant,Université de Bordeaux,"Johns Hopkins Hospital, Cleveland Clinic, Stanford Health Care",1,15.0,Français,Paris,1
Mentor,BTS en Ressources Humaines,Médiateur en conflits,22,Devenir expert en gestion des talents,2.0,Passable,Sociable et communicatif,Université de Paris,"Kelly Services, ADP",15,35.0,Anglais,Marseille,2
Mentor,BTS en Marketing,Chef de publicité,29,Devenir responsable marketing stratégique,1.0,Médiocre,Créatif et innovant,Université de Lyon,McDonald's,7,25.0,Français,Rennes,3
Mentor,Diplôme d'Ingénieur,Ingénieur civil,7,Devenir ingénieur de renom,3.0,Moyen,Sympathique et patient,Université de Lyon,"Airbus, General Electric, Boeing, Lockheed Martin, Siemens",7,25.0,Anglais,Marseille,2
Mentor,DES en Médecine,Gynécologue,24,Pratiquer la médecine pédiatrique,5.0,Très bien,Sociable et communicatif,Université de Toulouse,Massachusetts General Hospital,15,35.0,Français,Nantes,1
Mentor,Internat en Médecine,Chirurgien,10,Devenir spécialiste en chirurgie,4.0,Bien,Analytique et organisé,Université de Paris,"Massachusetts General Hospital, Stanford Health Care, Mayo Clinic",16,35.0,Anglais,Toulouse,1
Mentor,Doctorat en Ressources Humaines,Médiateur en conflits,28,Devenir expert en gestion des talents,3.0,Moyen,Dynamique et enthousiaste,Université de Paris,"Kelly Services, ADP, Randstad, Adecco, ManpowerGroup",19,35.0,Anglais,Rennes,2
Mentor,MBA en Finance,Trader,25,Gérer des portefeuilles d'investissement complexes,5.0,Très bien,Sociable et communicatif,Université de Paris,"JPMorgan Chase, Goldman Sachs, Morgan Stanley, Citigroup, Bank of America",17,35.0,Français,Rennes,3
Mentor,Pharmacie,Médecin généraliste,19,Pratiquer la médecine pédiatrique,4.0,Bien,Dynamique et enthousiaste,Université de Toulouse,"Johns Hopkins Hospital, Cleveland Clinic, Massachusetts General Hospital, Mayo Clinic",8,25.0,Français,Paris,2
Mentor,Master en Pédagogie,Psychopédagogue,22,Améliorer les méthodes d'enseignement,2.0,Passable,Sociable et communicatif,Université de Marseille,"Massachusetts Institute of Technology, Harvard University, University of Cambridge, Oxford University",2,15.0,Anglais,Lyon,2
Mentor,Licence en Arts Plastiques,Sculpteur,20,Devenir artiste renommé,3.0,Moyen,Créatif et innovant,Université de Toulouse,"Gagosian Gallery, The Louvre, Christie's, Saatchi Gallery",2,15.0,Français,Nantes,2
Mentor,MBA en Finance,Gestionnaire de portefeuille,16,Devenir analyste financier senior,5.0,Très bien,Dynamique et enthousiaste,Université de Toulouse,"Bank of America, Citigroup, JPMorgan Chase",14,35.0,Anglais,Bordeaux,1
Mentor,Doctorat en Psychologie,Psychologue clinicien,28,Devenir psychologue clinicien renommé,1.0,Médiocre,Créatif et innovant,Université de Toulouse,Massachusetts General Hospital,17,35.0,Anglais,Lyon,1
Mentor,Pharmacie,Chirurgien,9,Pratiquer la médecine pédiatrique,3.0,Moyen,Analytique et organisé,Université de Lyon,"Stanford Health Care, Cleveland Clinic, Johns Hopkins Hospital",14,35.0,Anglais,Nantes,2
Mentor,BTS en Marketing,Responsable marketing,24,Gérer des campagnes publicitaires de grande envergure,5.0,Très bien,Analytique et organisé,Université de Toulouse,"Coca-Cola, McDonald's, Procter & Gamble",3,15.0,Anglais,Paris,3
Mentor,Master en Psychologie,Conseiller en orientation,30,Devenir psychologue clinicien renommé,2.0,Passable,Créatif et innovant,Université de Paris,"Mayo Clinic, Massachusetts General Hospital",13,35.0,Anglais,Bordeaux,2
Mentor,Certificat en Ingénierie,Ingénieur logiciel,19,Concevoir des produits mécaniques innovants,3.0,Moyen,Dynamique et enthousiaste,Université de Marseille,Lockheed Martin,20,35.0,Français,Nantes,2
Mentor,DFASM en Médecine,Gynécologue,25,Devenir spécialiste en chirurgie,5.0,Très bien,Analytique et organisé,Université de Paris,"Johns Hopkins Hospital, Stanford Health Care",12,35.0,Français,Rennes,3
Mentor,Master en Psychologie,Psychologue clinicien,12,Devenir psychologue clinicien renommé,4.0,Bien,Sympathique et patient,Université de Lyon,"Stanford Health Care, Cleveland Clinic, Johns Hopkins Hospital",7,25.0,Français,Toulouse,3
Mentor,Master en Psychologie,Psychologue de l'enfance,21,Faire de la recherche en psychologie,4.0,Bien,Créatif et innovant,Université de Toulouse,Stanford Health Care,6,25.0,Anglais,Strasbourg,1
Mentor,MBA en Gestion,Responsable des ressources humaines,29,Gérer des projets internationaux,1.0,Médiocre,Créatif et innovant,Université de Marseille,"Boston Consulting Group, Deloitte",2,15.0,Anglais,Marseille,1
Mentor,BTS en Design Graphique,Artiste numérique,6,Travailler sur des projets de design graphique innovants,4.0,Bien,Sociable et communicatif,Université de Bordeaux,"Gagosian Gallery, Saatchi Gallery, Christie's",15,35.0,Anglais,Lille,2
Mentor,Pharmacie,Chirurgien,15,Pratiquer la médecine pédiatrique,5.0,Très bien,Sympathique et patient,Université de Paris,"Mayo Clinic, Massachusetts General Hospital",6,25.0,Français,Paris,3
Mentor,Licence en Finance,Comptable,8,Gérer des portefeuilles d'investissement complexes,2.0,Passable,Analytique et organisé,Université de Bordeaux,"Bank of America, JPMorgan Chase, Citigroup, Morgan Stanley, Goldman Sachs",15,35.0,Anglais,Marseille,1
Mentor,Master en Marketing,Responsable marketing,16,Gérer des campagnes publicitaires de grande envergure,2.0,Passable,Analytique et organisé,Université de Paris,"McDonald's, Coca-Cola, Procter & Gamble",9,25.0,Français,Lyon,3
Mentor,DFASM en Médecine,Pédiatre,27,Devenir spécialiste en chirurgie,4.0,Bien,Dynamique et enthousiaste,Université de Lyon,"Mayo Clinic, Johns Hopkins Hospital, Massachusetts General Hospital, Cleveland Clinic",19,35.0,Français,Toulouse,2
Mentor,BTS en Psychologie,Conseiller en orientation,27,Faire de la recherche en psychologie,5.0,Très bien,Sympathique et patient,Université de Toulouse,"Cleveland Clinic, Mayo Clinic, Stanford Health Care",7,25.0,Anglais,Rennes,3
Mentor,Certificat en Didactique,Didacticien,21,Devenir un enseignant émérite,3.0,Moyen,Créatif et innovant,Université de Paris,"Stanford University, University of Cambridge, Massachusetts Institute of Technology, Harvard University, Oxford University",10,25.0,Français,Strasbourg,3
Mentor,Master en Ingénierie,Ingénieur civil,20,Concevoir des produits mécaniques innovants,3.0,Moyen,Analytique et organisé,Université de Marseille,"Airbus, Boeing, Lockheed Martin, Siemens",1,15.0,Français,Marseille,1
Mentor,Doctorat en Ressources Humaines,Responsable RH,12,Devenir expert en gestion des talents,3.0,Moyen,Sympathique et patient,Université de Paris,"Randstad, ADP",2,15.0,Anglais,Rennes,3
Mentor,BTS en Finance,Trader,14,Gérer des portefeuilles d'investissement complexes,3.0,Moyen,Créatif et innovant,Université de Marseille,"Citigroup, Bank of America, Goldman Sachs, JPMorgan Chase, Morgan Stanley",14,35.0,Anglais,Lyon,2
Mentor,Master en Pédagogie,Enseignant,13,Améliorer les méthodes d'enseignement,4.0,Bien,Dynamique et enthousiaste,Université de Bordeaux,"Massachusetts Institute of Technology, University of Cambridge",12,35.0,Anglais,Rennes,3
Mentor,BTS en Marketing,Gestionnaire de campagnes,18,Devenir responsable marketing stratégique,2.0,Passable,Analytique et organisé,Université de Toulouse,"Procter & Gamble, Amazon Advertising",4,15.0,Français,Toulouse,2
Mentor,BTS en Gestion,Contrôleur financier,10,Devenir directeur général d'une grande entreprise,2.0,Passable,Créatif et innovant,Université de Bordeaux,Boston Consulting Group,2,15.0,Anglais,Strasbourg,1
Mentor,Master en Gestion,Chef de projet,21,Gérer des projets internationaux,4.0,Bien,Créatif et innovant,Université de Marseille,"PwC, McKinsey & Company, Bain & Company, Deloitte, Boston Consulting Group",5,25.0,Anglais,Paris,1
Mentor,DFASM en Médecine,Gynécologue,25,Devenir spécialiste en chirurgie,5.0,Très bien,Dynamique et enthousiaste,Université de Lyon,"Johns Hopkins Hospital, Stanford Health Care",6,25.0,Anglais,Bordeaux,1
Mentor,Doctorat en Ingénierie,Ingénieur logiciel,19,Devenir ingénieur de renom,4.0,Bien,Sympathique et patient,Université de Bordeaux,"Airbus, General Electric",8,25.0,Français,Strasbourg,2
Mentor,DES en Médecine,Pédiatre,30,Devenir spécialiste en chirurgie,1.0,Médiocre,Dynamique et enthousiaste,Université de Paris,"Mayo Clinic, Massachusetts General Hospital, Cleveland Clinic, Johns Hopkins Hospital",3,15.0,Anglais,Lyon,3
Mentor,MBA en Gestion,Contrôleur financier,6,Devenir directeur général d'une grande entreprise,1.0,Médiocre,Créatif et innovant,Université de Lyon,"Bain & Company, PwC",19,35.0,Français,Marseille,2
Mentor,Certificat en Psychologie,Conseiller en orientation,12,Devenir psychologue clinicien renommé,4.0,Bien,Sociable et communicatif,Université de Bordeaux,"Johns Hopkins Hospital, Mayo Clinic, Massachusetts General Hospital, Cleveland Clinic, Stanford Health Care",1,15.0,Anglais,Lyon,2
Mentor,BTS en Gestion,Chef de projet,10,Gérer des projets internationaux,4.0,Bien,Analytique et organisé,Université de Bordeaux,Bain & Company,2,15.0,Anglais,Montpellier,2
Mentor,Master en Psychologie,Psychologue scolaire,25,Faire de la recherche en psychologie,1.0,Médiocre,Analytique et organisé,Université de Bordeaux,"Johns Hopkins Hospital, Massachusetts General Hospital",16,35.0,Français,Lille,3
Mentor,BTS en Ingénierie,Ingénieur mécanique,5,Devenir ingénieur de renom,1.0,Médiocre,Dynamique et enthousiaste,Université de Marseille,"Lockheed Martin, General Electric, Airbus",7,25.0,Français,Marseille,3
Mentor,Master en Pédagogie,Psychopédagogue,14,Améliorer les méthodes d'enseignement,3.0,Moyen,Sociable et communicatif,Université de Paris,Harvard University,17,35.0,Anglais,Nantes,3
Mentor,Doctorat en Ingénierie,Ingénieur électrique,6,Concevoir des produits mécaniques innovants,3.0,Moyen,Sociable et communicatif,Université de Marseille,Boeing,7,25.0,Anglais,Nantes,1
Mentor,DFASM en Médecine,Chirurgien,29,Pratiquer la médecine pédiatrique,3.0,Moyen,Analytique et organisé,Université de Paris,Cleveland Clinic,10,25.0,Français,Nantes,2
Mentor,Master en Gestion,Chef de projet,20,Gérer des projets internationaux,2.0,Passable,Créatif et innovant,Université de Bordeaux,"PwC, McKinsey & Company, Bain & Company",3,15.0,Anglais,Rennes,3
Mentor,Licence en Ressources Humaines,Médiateur en conflits,5,Former le personnel dans de grandes organisations,2.0,Passable,Créatif et innovant,Université de Bordeaux,Adecco,6,25.0,Français,Paris,2
Mentor,Doctorat en Finance,Comptable,19,Gérer des portefeuilles d'investissement complexes,2.0,Passable,Sociable et communicatif,Université de Marseille,"Goldman Sachs, Morgan Stanley, JPMorgan Chase",2,15.0,Français,Toulouse,2
Mentor,BTS en Informatique,Développeur web,18,Travailler en cybersécurité,5.0,Très bien,Créatif et innovant,Université de Bordeaux,Google,13,35.0,Français,Lyon,1
Mentor,BTS en Ingénierie,Ingénieur électrique,12,Concevoir des produits mécaniques innovants,4.0,Bien,Sympathique et patient,Université de Marseille,"Boeing, Airbus, Lockheed Martin, General Electric, Siemens",8,25.0,Français,Bordeaux,1
